probe,vector_family,layers,alpha,seed,count,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,graph_fragmentation,semantic_loop_pressure,trajectory_revisit_pressure,lineage_bridge,unbridged_novelty,object_budget_pressure,traceable_transport_score,ordinary_anchor_retention,stock_prop_attractor_score,fantasy_prop_score,unfinished
transition_early,transition,2-8,1.4,The laundry basket by the door,3,0.0,0.0,0.928611111111111,0.3644596774193549,0.0,0.0153125,0.08333333333333333,0.8055555555555555,0.0861111111111111,0.10457948360443116,0.4166666666666667,0.0,0.0,0.0
transition_early,transition,2-8,1.4,The spreadsheet was still open,3,0.0,0.0,0.7752168234064786,0.785110153256705,0.0,0.02193181818181818,0.17500000000000002,0.763888888888889,0.37847222222222227,0.12756577752469767,0.5833333333333334,0.0,0.0,0.0
transition_mid,transition,9-15,0.0,A blue mug near the sink,3,0.05965405594459005,0.1922222222222222,0.7441458333333334,0.40874236806328024,0.2976190476190476,0.041375,0.375,0.48333333333333334,0.05277777777777778,0.17158098560636006,0.6666666666666666,0.0,0.0,0.0
transition_mid,transition,9-15,0.0,I am waiting for the printer,3,0.0,0.0,0.9220868454661558,0.6403044078958985,0.0,0.006363636363636363,0.13333333333333333,0.8333333333333334,0.30694444444444446,0.10742442490086411,0.5,0.0,0.0,0.0
transition_mid,transition,9-15,0.0,The laundry basket by the door,3,0.0,0.0,0.8994129353233831,0.553174437646768,0.0,0.19500000000000003,0.4583333333333333,0.3611111111111111,0.05277777777777778,0.3449483990139432,0.6666666666666666,0.0,0.0,0.0
transition_mid,transition,9-15,0.0,The spreadsheet was still open,3,0.08322476363838154,0.20555555555555557,0.9035146966541162,0.7843512390310222,0.0,0.013038461538461539,0.1875,0.7962962962962963,0.5715277777777777,0.1133099029919364,0.5,0.0,0.0,0.0
transition_mid,transition,9-15,0.8,A blue mug near the sink,3,0.0,0.0,0.8533333333333334,0.26087989741688306,0.0,0.01895833333333333,0.5,0.35555555555555557,0.016666666666666666,0.44715106119791664,0.6666666666666666,0.0,0.0,0.0
transition_mid,transition,9-15,0.8,I am waiting for the printer,3,0.02636070504385965,0.08333333333333333,0.8427646198830411,0.7228438851810655,0.0,0.0255625,0.25,0.7599206349206349,0.642361111111111,0.11326142488703651,0.5,0.0,0.0,0.0
transition_mid,transition,9-15,0.8,The laundry basket by the door,3,0.014662763206679587,0.037037037037037035,0.8381618332837238,0.4283706433073786,0.0,0.005833333333333333,0.125,0.8333333333333334,0.27291666666666664,0.1390478515625,0.3333333333333333,0.0,0.0,0.0
transition_mid,transition,9-15,0.8,The spreadsheet was still open,3,0.005534719884933475,0.014814814814814815,0.8317229078891127,0.8151923234811166,0.0,0.01960597826086956,0.19196428571428573,0.7954545454545454,0.6597222222222222,0.0893773168062923,0.6666666666666666,0.0,0.0,0.0
transition_mid,transition,9-15,1.1,A blue mug near the sink,3,0.004514105694444445,0.011111111111111112,0.8113194936958235,0.6006752873563218,0.0,0.014583333333333332,0.47500000000000003,0.4666666666666666,0.33194444444444443,0.4160221861481843,0.6666666666666666,0.0,0.0,0.0
transition_mid,transition,9-15,1.1,I am waiting for the printer,3,0.019312616487455195,0.044444444444444446,0.8666666666666667,0.5445198368557658,0.0,0.012638888888888889,0.16666666666666666,0.7666666666666666,0.27083333333333337,0.15697191037326388,0.4166666666666667,0.0,0.0,0.0
