probe,label,vector_family,layers,alpha,scope,count,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,graph_fragmentation,semantic_loop_pressure,trajectory_revisit_pressure,lineage_bridge,unbridged_novelty,object_budget_pressure,traceable_transport_score,ordinary_anchor_retention,stock_prop_attractor_score,fantasy_prop_score,unfinished
transition_mid,"Transition, layers 9-15",transition,9-15,1.1,pool,48,0.00293927911353604,0.007572751322751322,0.8426487673344206,0.6668189155830112,0.02353896103896104,0.033934578008796755,0.21648685515873015,0.7275703463203463,0.3438802083333334,0.1567930190473852,0.5729166666666666,0.027777777777777776,0.03958333333333333,0.00375
transition_mid,"Transition, layers 9-15",transition,9-15,1.1,picked,12,0.005956680545474911,0.013888888888888888,0.8527455869315812,0.5254251560375727,0.0,0.014184027777777776,0.22291666666666665,0.7166666666666667,0.23125000000000004,0.21055155410992657,0.5,0.0,0.0,0.0
transition_mid,"Transition, layers 9-15",transition,9-15,1.4,pool,48,0.0035294562463080137,0.00949074074074074,0.8056802667665388,0.7203605770079631,0.004807692307692309,0.032339722304144614,0.19688740079365077,0.7810528591778593,0.48676215277777773,0.1246529529171369,0.484375,0.006944444444444444,0.010416666666666666,0.0
transition_mid,"Transition, layers 9-15",transition,9-15,1.4,picked,12,0.010001972953923998,0.025925925925925925,0.8466194210255845,0.5215543223731837,0.0,0.028909397893772892,0.2220238095238095,0.7531415343915344,0.2765625,0.17186644763299105,0.4375,0.0,0.0,0.0
transition_late,"Transition, layers 16-22",transition,16-22,0.0,pool,48,0.0055546647476224864,0.017444247203015566,0.8488444683086337,0.6856271281362009,0.018601190476190476,0.05404835052100677,0.2559895833333333,0.6728944088319088,0.34600694444444446,0.1759975740159716,0.609375,0.013888888888888888,0.020833333333333332,0.0
transition_late,"Transition, layers 16-22",transition,16-22,0.0,picked,12,0.016170974003669746,0.05140977430455395,0.8740860164141414,0.49753921023359293,0.0744047619047619,0.023902777777777776,0.2708333333333333,0.6447191697191698,0.23611111111111113,0.2114081520826738,0.4791666666666667,0.0,0.0,0.0
transition_late,"Transition, layers 16-22",transition,16-22,0.8,pool,48,0.00996551544279684,0.023844855325075683,0.8085971599110292,0.6562137317477975,0.005681818181818183,0.048892360116395035,0.18250248015873016,0.7733529202279202,0.4246961805555556,0.12552403789179836,0.484375,0.006944444444444444,0.010416666666666666,0.0
transition_late,"Transition, layers 16-22",transition,16-22,0.8,picked,12,0.02713248220467353,0.06227304398348469,0.8974515607660405,0.4404519875478928,0.0,0.05404166666666666,0.16041666666666668,0.7611111111111111,0.25381944444444443,0.13530171107618547,0.4166666666666667,0.027777777777777776,0.041666666666666664,0.0
transition_late,"Transition, layers 16-22",transition,16-22,1.1,pool,48,0.01796561378903237,0.03159722222222223,0.8420129684810407,0.6590698228134877,0.025000000000000005,0.028472190712899633,0.2083891369047619,0.7362726972101972,0.39639756944444443,0.15243908499276473,0.515625,0.0,0.0,0.0
transition_late,"Transition, layers 16-22",transition,16-22,1.1,picked,12,0.06762514503584229,0.11805555555555557,0.915121260862922,0.4869507002930947,0.05000000000000001,0.033192285247432306,0.3318452380952381,0.5879629629629629,0.25972222222222224,0.2696454275723376,0.5416666666666666,0.0,0.0,0.0
transition_late,"Transition, layers 16-22",transition,16-22,1.4,pool,48,0.0039362716086785545,0.01087962962962963,0.8187739689028978,0.6959442402934478,0.04459550865800866,0.03999660470248705,0.24083074044011543,0.7081542878417878,0.39071180555555557,0.15493943475099872,0.5416666666666666,0.006944444444444444,0.0,0.0
transition_late,"Transition, layers 16-22",transition,16-22,1.4,picked,12,0.006579444835606125,0.016666666666666666,0.8102242549009905,0.4688013533555803,0.053977272727272735,0.049977746212121206,0.34077380952380953,0.5656746031746032,0.17048611111111112,0.25896146687387794,0.5625,0.0,0.0,0.0
