scope,contrast,left,right,metric,seed_pairs,mean_delta,median_delta,ci95_low,ci95_high,positive_seed_fraction
exact_anchor,operational_corridor_steering_gain,operational alpha=0.60,operational alpha=0.00,failure_rate,12,-0.0439484126984127,0.0,-0.10714285714285714,0.011904761904761904,0.08333333333333333
exact_anchor,naive_high_alpha_change,naive alpha=1.20,naive alpha=0.60,anchor_phrase_coverage,12,0.0,0.0,0.0,0.0,0.0
exact_anchor,naive_high_alpha_change,naive alpha=1.20,naive alpha=0.60,ontology_collapse_density,12,0.20493414095867035,0.21754242773592625,0.09419449513643988,0.31415451776405173,0.75
exact_anchor,naive_high_alpha_change,naive alpha=1.20,naive alpha=0.60,syntax_readability_proxy,12,0.01826002930265978,0.019525090033481296,0.0029356749974784537,0.03571356660729456,0.5833333333333334
exact_anchor,naive_high_alpha_change,naive alpha=1.20,naive alpha=0.60,decoration_without_transport,12,-0.07318240463219197,-0.07538637568561893,-0.1413152476095699,-0.008278756981877453,0.4166666666666667
exact_anchor,naive_high_alpha_change,naive alpha=1.20,naive alpha=0.60,decorative_near_miss_rate,12,-0.18511904761904763,-0.25,-0.3424603174603174,-0.013888888888888888,0.16666666666666666
exact_anchor,naive_high_alpha_change,naive alpha=1.20,naive alpha=0.60,readable_transport_rate,12,-0.08015873015873017,-0.04166666666666666,-0.2410813492063492,0.08373015873015871,0.3333333333333333
exact_anchor,naive_high_alpha_change,naive alpha=1.20,naive alpha=0.60,failure_rate,12,0.3043650793650794,0.24523809523809523,0.1686458333333333,0.4513888888888889,0.8333333333333334
exact_anchor,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,anchor_phrase_coverage,12,0.0,0.0,0.0,0.0,0.0
exact_anchor,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,ontology_collapse_density,12,0.28537480144546246,0.2797646280734516,0.1996189608193166,0.3710546422852815,1.0
exact_anchor,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,syntax_readability_proxy,12,-0.01270479197676789,-0.01590292000264021,-0.04239016098968866,0.015302265996489803,0.4166666666666667
exact_anchor,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,decoration_without_transport,12,-0.015376199953192336,-0.006871061756238837,-0.07407683377661042,0.043597259352067395,0.3333333333333333
exact_anchor,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,decorative_near_miss_rate,12,-0.2130952380952381,-0.17142857142857143,-0.336922123015873,-0.09314732142857154,0.08333333333333333
exact_anchor,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,readable_transport_rate,12,0.07718253968253967,0.0,-0.1150843253968254,0.28969742063492043,0.3333333333333333
exact_anchor,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,failure_rate,12,0.5446428571428571,0.5357142857142857,0.306547619047619,0.7678571428571428,0.75
exact_anchor,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,anchor_phrase_coverage,12,0.0,0.0,0.0,0.0,0.0
exact_anchor,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,ontology_collapse_density,12,-0.1445991162933627,-0.16789770403580492,-0.235815980164634,-0.05381806868967088,0.16666666666666666
exact_anchor,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,syntax_readability_proxy,12,-0.006380675018174488,-0.006218586431337325,-0.048099988334733064,0.02634597943074989,0.4166666666666667
exact_anchor,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,decoration_without_transport,12,-0.004010578642170112,0.020422524846662155,-0.09108675686975341,0.07887468745006558,0.6666666666666666
exact_anchor,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,decorative_near_miss_rate,12,0.21031746031746032,0.12857142857142856,0.017656249999999974,0.41518105158730156,0.5833333333333334
exact_anchor,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,readable_transport_rate,12,-0.13273809523809524,-0.14999999999999997,-0.2936656746031746,0.03154761904761905,0.25
exact_anchor,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,failure_rate,12,-0.2240079365079365,-0.18333333333333335,-0.36448660714285713,-0.09364335317460329,0.16666666666666666
